company_name,country,region
Permian Malaysia SDN. BHD,United Kingdom,Europe
"Fujian Qingliu Forestry Co., Ltd.",United Kingdom,Europe
Grow Indigo Private Ltd,United Kingdom,Europe
Fideicomiso Financiero Forestal Montes del Este,United Kingdom,Europe
Instituto Homem Pantaneiro,United Kingdom,Europe
SAIFF HoldCo Ltd.,United Kingdom,Europe
"Department of Forests and Wildlife Preservation, Punjab",United Kingdom,Europe
Anthesis B.V.,United Kingdom,Europe
Carbon Sink Group s.r.l.,United Kingdom,Europe
African Parks Benin (A Branch of African Parks Network),United Kingdom,Europe
Reforestadora Cumare S.A.S.,United Kingdom,Europe
Forest First Colombia S.A.S.,United Kingdom,Europe
African Parks RCA,United Kingdom,Europe
MADERERA RIO ACRE SAC,United Kingdom,Europe
Miller Forest Investment AG,United Kingdom,Europe
Clean Air Action Corporation,United Kingdom,Europe
FORCERT Limited,United Kingdom,Europe
Mahogani Vishwa Agro Pvt Ltd,United Kingdom,Europe
"Futuro Forestal, S.A.",United Kingdom,Europe
The PURE PROJECT SAS,United Kingdom,Europe
Forestal Azul S.A.,United Kingdom,Europe
ERA Assessoria e Projetos Ambientais e Agricolas Ltd.,United Kingdom,Europe
"Qinghai Guanglv Landscaping Co., Ltd.",United Kingdom,Europe
Loufan County Forestry Workstation,United Kingdom,Europe
Lanzhou Landscaping And Greening Service Center,United Kingdom,Europe
"Zhangjiakou Sailin Landscaping Co., Ltd.",United Kingdom,Europe
AGRO EMPRESA FORESTAL SA,United Kingdom,Europe
Miro Forestry Developments Limited,United Kingdom,Europe
Sichuan Jiajinshan Forestry Bureau,United Kingdom,Europe
Dingxi City Chankou Forestry Proving Ground,United Kingdom,Europe
Mangalam Timber Unit of Mangalam Cement Limited,United Kingdom,Europe
Tianshui Forestry Science Institute,United Kingdom,Europe
"Guangxi Baixin Agricultural Technology Co., Ltd.",United Kingdom,Europe
Global Forest Support GmbH,United Kingdom,Europe
Achats Service International,United Kingdom,Europe
"Guizhou Xinzhanxin Agricultural Technology Co., Ltd.",United Kingdom,Europe
"Jilin Forest Industry Environmental Technology Co., Ltd.",United Kingdom,Europe
Ecológica Assessoria Ltda.,United Kingdom,Europe
Forestal Apepu,United Kingdom,Europe
Burapha Agroforestry Co. Ltd,United Kingdom,Europe
MLR Forestal de Nicaragua S.A.,United Kingdom,Europe
Forestal San Pedro S.A.,United Kingdom,Europe
Green Gold Forestry Peru SA,United Kingdom,Europe
"Third Institute of Oceanography, Ministry of Natural Resources",United Kingdom,Europe
"Jinxiu Yao Autonomous County Zhengtong Asset Management Co., Ltd",United Kingdom,Europe
"Huanjiang Maonan Autonomous County Huashan Forestry Investment Co., Ltd",United Kingdom,Europe
BioGuinea Foundation,United Kingdom,Europe
Solifor Bloc Monet S.E.C.,United Kingdom,Europe
FRM Commitment,United Kingdom,Europe
NIHT Inc.,United Kingdom,Europe
Conservation International Foundation,United Kingdom,Europe
Renencom,United Kingdom,Europe
African National Oil Corporation s.a.r.l.,United Kingdom,Europe
Face the Future,United Kingdom,Europe
Brazil AgFor LLC,United Kingdom,Europe
"Xichuan Rongda Agriculture and Forestry Co., Ltd",United Kingdom,Europe
Agrimoz S.a r.l.,United Kingdom,Europe
ALLCOT AG,United Kingdom,Europe
"Beijing Qianyuhui Environmental Technology Co., Ltd.",United Kingdom,Europe
AGROBUSINESS FLORESTAS E PECUARIA LTDA,United Kingdom,Europe
"Guizhou Baiheng Fertiliser Co., Ltd",United Kingdom,Europe
Amazon Reforestation Consortium.,United Kingdom,Europe
Floresta Verde Serviços Ltda.,United Kingdom,Europe
Livelihoods Fund SICAV SIF,United Kingdom,Europe
"Zhejiang Zhongzheng Forestry Development Co.,Ltd",United Kingdom,Europe
"Beijing Pingtouge Forestry Carbon Technology Development Co.,Ltd",United Kingdom,Europe
King County Department of Natural Resources and Parks,United Kingdom,Europe
Carbon Tanzania,United Kingdom,Europe
Asociacion Amazonicos por la Amazonía,United Kingdom,Europe
Panamanian Pro Carbon Association (Asociación Panameña Pro Carbono. Approcarbono),United Kingdom,Europe
Société de gestion de projets ECOTIERRA Inc.,United Kingdom,Europe
"Makit Base Junlian Cotton Industry Co., Ltd.",United Kingdom,Europe
"Hefei Zhuoya Landscaping Engineering Co., Ltd.",United Kingdom,Europe
Fideicomiso Forestal Financiero Eucalyptus del Sur,United Kingdom,Europe
"Qinghai Forestry Ecological Construction and Investment Co., Ltd.",United Kingdom,Europe
Sun Plant Agro Limited,United Kingdom,Europe
EcoFormation,United Kingdom,Europe
Consejo Comunitario General Los Riscales.,United Kingdom,Europe
Busoga Forestry Co. Ltd (Subsidiary Green Resources),United Kingdom,Europe
Corporación Autónoma Regional del Río Grande de la Magdalena (CORMAGDALENA),United Kingdom,Europe
"Royal Government of Cambodia (RGC), Ministry of Environment",United Kingdom,Europe
Agropecuaria Santa Genoveva S.A.P.I. de C.V,United Kingdom,Europe
Inner Mongolia Keyihe Forest Industry LLC.,United Kingdom,Europe
Provincial Office of Agriculture and Forestry (PAFO),United Kingdom,Europe
Godrej Properties Ltd,United Kingdom,Europe
Local Environmental Authority of Chivor (CORPOCHIVOR– Corporación Autónoma Regional de Chivor),United Kingdom,Europe
"The Royal Government of Cambodia, Forestry Administration",United Kingdom,Europe
Agrocortex Madeiras do Acre Agroflorestal Ltda.,United Kingdom,Europe
Dynegy Inc.,United Kingdom,Europe
Agrícola y Forestal SNP Ltda,United Kingdom,Europe
Form Ghana Ltd,United Kingdom,Europe
Lao Thai Hua Rubber Co. Ltd,United Kingdom,Europe
EUCAPINE S.R.L,United Kingdom,Europe
Forestal El Arriero SRL,United Kingdom,Europe
Intercontinental Timber Asociacion Agraria de Responsabilidad Limitada,United Kingdom,Europe
Bio Energy Resources Limited (BERL),United Kingdom,Europe
National Mozambican Public Agency for Parks and Reserves Conservation (ANAC),United Kingdom,Europe
Vi Agroforestry Programme,United Kingdom,Europe
"Govt. of Madagascar, Direction Generale des Forets",United Kingdom,Europe
"Xishuangbanna Forestry Bureau of Yunnan province, P.R.China.",United Kingdom,Europe
MARONESE SERVICOS AGRICOLAS E LOCACAO LTDA,United Kingdom,Europe
Fazenda Nossa Senhora das Cachoeiras do Ituxi,United Kingdom,Europe
Empresa Brasileira de Conservacao de Florestas(EBCF),United Kingdom,Europe
Indian Farm Forestry Development Co-operative Limited,United Kingdom,Europe
Fundacion para el Ecodesarrollo y la Conservacion [FUNDAECO],United Kingdom,Europe
Prakash Industries Limited,United Kingdom,Europe
Metareilá Association of the Suruí Indigenous P'pl,United Kingdom,Europe
Tasmanian Land Conservancy,United Kingdom,Europe
Spekboom Trading (Pty) Ltd,United Kingdom,Europe
Nature Conservancy of Canada,United Kingdom,Europe
Anthrotect S.A.S.,United Kingdom,Europe
Bull Run Overseas Ltd.,United Kingdom,Europe
Royal Government of Cambodia-Forestry Admin,United Kingdom,Europe
Negocios Energeticos de Occidente S.A.,United Kingdom,Europe
"Yong’an Forestry Bureau of Fujian province, P.R.China",United Kingdom,Europe
Wildlife Works Carbon LLC,United Kingdom,Europe
RMDLT Property Group Ltd.,United Kingdom,Europe
Rainforest Project Management Limited.,United Kingdom,Europe
Asorpar Ltd.,United Kingdom,Europe
Mikro-Tek Inc.,United Kingdom,Europe
Green Resources Tanzania Ltd (GRL),United Kingdom,Europe
Caraguá Agronegócios LTDA,United Kingdom,Europe
Chyulu Hills Conservation Trust,United Kingdom,Europe
Concosta Community Council,United Kingdom,Europe
Consejo Comunitario del Río Cajambre,United Kingdom,Europe
Cabildo Mayor Indígena de Mutatá,United Kingdom,Europe
Bosques Amazónicos,United Kingdom,Europe
Oromia Forest and Wildlife Enterprise,United Kingdom,Europe
YACUMAMA S.R.L.,United Kingdom,Europe
Agroempresa Forestal S.A.,United Kingdom,Europe
"Kunming Yuming Investment Development Co., Ltd.",United Kingdom,Europe
"Negocios Energeticos De Occidente, S.A.",United Kingdom,Europe
Consejo Nacional de Áreas Protegidas (CONAP),United Kingdom,Europe
Community Markets for Conservation (COMACO),United Kingdom,Europe
Chaoer Forest Bureau of Inner Mongolia Autonomous Region,United Kingdom,Europe
Lock Haven City Authority,United Kingdom,Europe
Proteak UNO S.A.B. de C.V.,United Kingdom,Europe
Village Climate Solutions Limited,United Kingdom,Europe
The Wildlife Conservation Society (WCS),United Kingdom,Europe
PRIMAKLIMA e.V.,United Kingdom,Europe
Swire Pacific Offshore Operations (Pte) Ltd. (SPO),United Kingdom,Europe
Gola Rainforest Conservation LG,United Kingdom,Europe
CBNS NEGÓCIOS FLORESTAIS S/A,United Kingdom,Europe
Avoided Deforestation Project (Manaus) Limited (“A,United Kingdom,Europe
Fermin Aldabe,United Kingdom,Europe
InfiniteEARTH,United Kingdom,Europe
PT. Rimba Makmur Utama (PT. RMU),United Kingdom,Europe
Northern Rangelands Trust,United Kingdom,Europe
Bethlehem Authority,United Kingdom,Europe
NACOBENA SAS,United Kingdom,Europe
"CIMA, Cordillera Azul",United Kingdom,Europe
Carbon Green Investments (Guernsey),United Kingdom,Europe
"EFM Investments & Advisory, Inc.",United Kingdom,Europe
Guanaré S.A.,United Kingdom,Europe
BioCarbon Partners,United Kingdom,Europe
ClimeCo LLC,United Kingdom,Europe
"SAFBOIS, SPRL",United Kingdom,Europe
Food and Trees for Africa (FTFA),United Kingdom,Europe
Plant your Future,United Kingdom,Europe
Asociación para la Investigación y Desarrollo Integral – AIDER,United Kingdom,Europe
Boden Creek Ecological Preserve,United Kingdom,Europe
