ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5862,Tubura Forest Landscape Restoration Program,One Acre Fund,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Rwanda,"105,000",Africa,,01/11/2023,31/10/2053
5858,Increasing Carbon Stocks through the Reforestation of the Communal Forests of Ndélélé and Bétaré-Oya,Terraformation Inc.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Cameroon,"73,569",Africa,,,
5859,AgriCapture Latin America Rice Methane Project,AgriCapture,Agriculture Forestry and Other Land Use,ALM,VM0051,Under development,Brazil,"47,857",Latin America,,13/09/2025,12/09/2032
5856,Electric Mobility Program Brazil,Zeroca B.V.,Transport,,VMR0014; VM0038,Under validation,Brazil,"253,260",Latin America,,01/01/2026,31/12/2035
5850,NAM KAIO HYDRO POWER PROJECT,SINGAPORE TREASURE CARBON TECH PTE. LTD.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Lao,"24,080",,,,
5851,10.2MW Nam Yeim Hydro Power Project,SINGAPORE TREASURE CARBON TECH PTE. LTD.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Lao,"22,841",,,01/03/2026,29/02/2036
5853,Project Duiker | Forest Ecosystem Restoration in Eastern Guinea,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Guinea,"109,068",Africa,,,
5854,Electric Mobility Program Nepal,Zeroca B.V.,Transport,,VMR0014; VM0038,Under validation,Nepal,"30,659",Asia,,01/01/2026,31/12/2035
5848,Lunga Luswishi Carbon Enhancement Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,Methodology Under Development,Under development,Zambia,"18,810",Africa,,,
5845,Nunukan Mangrove & Peatland Project,PT. Bumi Hijau Konservasi,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007; VM0033; VM0047,Under validation,Indonesia,"355,275",Asia,,01/02/2026,31/01/2066
5846,"Beetle Regen: Advancing Low-Emission Regenerative Agriculture through Improved land management in Aurangabad, Maharashtra",Kosher Climate India Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,India,"28,504",Asia,,01/05/2024,30/04/2044
5841,EnviroServ Waste-to-Energy Grouped Project,EnviroServ Waste Management (Pty) Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,South Africa,"155,134",Africa,,,
5842,UNITÁN II: Afforestation and Reforestation Project with Variety of Native Species in the Argentine Chaco,UNITAN SAICA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,"1,542",Latin America,,23/09/2023,22/09/2066
5837,Amazon Highest-Deforestation Frontline (HDF) XARR Grouped Project,Rainforest Defense Company,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"300,000",,,01/02/2026,31/01/2066
5836,Amazon Highest-Deforestation Frontline (HDF) XREDD Grouped Project,Rainforest Defense Company,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,"300,000",,,01/02/2026,31/01/2066
5833,1397 TPD Bundled Composting Project by EOFPL,M/S. Eastern Organic Fertilizer Pvt. Ltd. (EOFPL),Waste handling and disposal,,ACM0022,Under validation,India,"79,427",Asia,,27/03/2024,26/03/2034
5834,Delta Kapuas Project,PT Belantara Sejahtera Mandiri,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007; VM0033; VM0047; VM0048,Under development,Indonesia,"2,438,716",Asia,,01/01/2023,31/12/2086
5831,IGARAPÉ LOURDES REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,"52,416",Latin America,,11/11/2022,10/11/2062
5826,CO₂ Utilization in Concrete Production - Carbonminer Guangdong Project,"Shenzhen New Green Carbon and Technology (Group) Co., Ltd",Construction; Manufacturing industries,,VM0043,Under validation,China,"4,584",Asia,,01/08/2024,31/07/2031
5827,Scaw Electric Arc Furnace Efficiency Project,Scaw South Africa (Pty) Limited,Energy demand,,AMS-II.D.,Under development,South Africa,"19,832",Africa,,,
5821,"TREES FOR FARMERS, AGROFORESTRY PROJECT IN INDIA",Fidelis Enviro Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"980,163",Asia,,01/03/2026,28/02/2046
5822,Mwenga Hydro Power Project,Rift Valley Energy Tanzania Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Tanzania,"10,695",Africa,,30/01/2020,29/01/2027
5823,Forêts d'Avenir,Lignaverda (Driven by Ondernemers Zonder Grenzen),Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Senegal,"20,443",Africa,,10/07/2023,09/07/2063
5819,JIANGMEN MSW INCINERATION AND POWER GENERATION,"PublicEnergy(Jiangmen)Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,China,"208,118",Asia,,24/05/2024,23/05/2031
5820,The Gamboma and Mbon Afforestation Project,EcoNetix GmbH,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Congo,"2,757,662",Africa,,01/01/2026,31/12/2067
5818,Avé Ga Grouped Project,Reforest'Action,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Togo,"174,039",Africa,,,
5816,The Massangui Forest Conservation and Afforestation Project,EcoNetix GmbH,Agriculture Forestry and Other Land Use,ARR; REDD,VM0047; VM0048,Under development,Congo,"383,479",Africa,,01/01/2026,31/12/2067
5817,BIOGAS TO ENERGY GROUPED PROJECT – MEXICO,SAJOMA Climate Technical Consulting S.A.S. de C.V.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Under validation,Mexico,"46,382",Latin America,,20/02/2024,19/02/2031
5815,Bio2Watt Bronkhorstspruit Biogas project,Bronkhorstspruit Biogas Plant (Pty) Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,South Africa,"30,000",Africa,,,
5813,"Developing a Voluntary Carbon Market Project with FPOs for Agroforestry Plantation in Saharanpur District of Uttar Pradesh, India","New Agri Bio Energy Producer Co. Ltd, Saharanpur",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"54,161",Asia,,17/01/2023,16/01/2063
5814,THAILAND CARBON PROGRAM OF RICE-FIELD FOR ALTERNATIVE WET AND DRY IN THE AREAS OF THE CENTRAL AND NORTHERN,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0051,Under validation,Thailand,"54,645",Asia,,01/11/2025,31/10/2032
5809,Figure 8 Environmental Advanced Solid Separation Grouped Project,"3Degrees Group, Inc.","Livestock, enteric fermentation, and manure management",,AMS-III.Y,Under development,United States,"10,000",North America,,28/11/2025,27/11/2032
5807,REGENERATIVE AGRICULTURE CARBON OFFSETTING (RACO) GROUP PROJECT,New Energy Centre Malaysia Sdn Bhd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Malaysia,"13,387",Asia,,01/12/2025,30/11/2045
5805,Mangrove Mitra: Community-Led Coastal Resilience,Climeverse Private Limited dba Equilibrium,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,India,"50,553",Asia,,13/10/2025,12/10/2065
5806,Tausi Tanzania,New Forests Company Holdings I Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Tanzania,"266,196",Africa,,01/11/2022,31/10/2062
5803,Improved Agricultural Land Management in Sierra Leone,Teralytic,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Sierra Leone,"45,000",Africa,,01/10/2025,30/09/2045
5800,Robinway Dairy Advanced Solid Separation Project,"Robinway Dairy, LLC","Livestock, enteric fermentation, and manure management",,AMS-III.Y,Under development,United States,"5,923",North America,,10/06/2025,09/06/2032
5795,PrithviPoshan Biochar Project,Prithviposhan Pvt.Ltd,Waste handling and disposal,,VM0044,Under validation,India,"18,415",Asia,,,
5792,Togo Green Renaissance With Farmers and Schools,Reboisement et exploitation des forets SARL,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Togo,"696,750",Africa,,06/01/2018,05/01/2058
5787,Organic residues for a greener future,OYU Green Private Limited,Waste handling and disposal,,AMS-III.D.; AMS-III.E.; AMS-III.F.,Under validation,Ghana,"60,000",Africa,,01/05/2024,30/04/2031
5785,Scaw Rooftop Solar PV Grouped Project,Scaw South Africa (Pty) Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under development,South Africa,"9,631",Africa,,13/01/2025,12/01/2032
5786,MYANMAR CARBON PROGRAM OF RICE-FIELD FOR GREENHOUSE GAS REDUCTION IN AREAS OF THE CENTRAL AND NORTHERN,"Charoen Pokphand Produce Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0051,Under validation,Myanmar,"59,738",Asia,,01/10/2025,30/09/2032
5784,Malaysia Grouped Biomass Waste Stabilization and Pelletization Project by Taiyo Biomass,Climate Quest Sdn Bhd,Waste handling and disposal,,ACM0022,Under development,Malaysia,"44,113",Asia,,01/02/2026,31/01/2036
5782,Electric Mobility Program Morocco,Zeroca B.V.,Transport,,AMS-I.F.; VMR0014; VM0038,Registration requested,Morocco,"78,072",Africa,,01/12/2025,30/11/2035
5783,Green Gold Loreto 2,Green Gold Forestry Peru SA,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,Peru,"203,181",Latin America,,08/06/2023,07/06/2043
5779,The Ecopreneur Movement – Miombo Woodland Restoration Project,Community Climate Solutions,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Zambia,"1,432,208",Africa,,05/06/2024,04/06/2064
5780,KA’AGUY+ – Grouped REDD+ Project for Avoided Forest Degradation in Paraguay,Nuevas Tierras S.A.,Agriculture Forestry and Other Land Use,REDD,VM0006,Under development,Paraguay,"235,000",Latin America,,05/03/2026,04/03/2126
5775,Hedmenn Strauss Solar PV Grouped Project,Hedmenn Strauss (Pty) Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under development,South Africa,"12,078",Africa,,09/01/2025,08/01/2032
5774,ReTerra Brazil,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"717,000",Latin America,,11/11/2024,10/11/2074
5771,Thirst for Life: A Clean Water Initiative,OYU Green Private Limited,Energy demand,,AMS-I.E.; AMS-III.AV.,Under validation,South Africa,"31,599",Africa,,01/05/2025,30/04/2032
5769,Grouped Improved Agricultural Land Management Project in Shandong Province,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,"52,708",Asia,,28/10/2022,27/10/2062
5770,REDD+ Sertão Veredas,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; REDD,VM0048,Under development,Brazil,"79,560",Latin America,,01/08/2024,31/07/2064
5766,Agrokoncernas Carbon Farming Initiative,UAB Agrokoncernas,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Lithuania,"209,333",,,01/04/2023,31/03/2043
5764,PEWMA PATAGONIA CARBON FORESTRY PROJECT,360 Conservacion Patagonia SA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Argentina,"2,430",Latin America,,26/04/2025,25/04/2125
5762,Electric Mobility Program Nigeria,Zeroca B.V.,Transport,,AMS-I.F.; VMR0014; VM0038,Under validation,Nigeria,"180,732",Africa,,01/06/2025,31/05/2035
5763,Grande Sun Gabon Ogooué-Ivindo REDD+ Project,"Hainan Grande Sun Carbon Energy Technology Co.,LTD",Agriculture Forestry and Other Land Use,REDD,VM0007; VM0048,Under development,Gabon ,"2,976,683",Africa,,15/10/2022,14/10/2047
5757,Grouped Solar Lamp distribution project in Africa#1,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-III.AR,Under development,Ethiopia,"37,234",Africa,,14/03/2024,13/03/2031
5758,Go Green Jojoba Afforestation Project,Egyptian Carbon Center (ECC),Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Egypt,"44,834",Africa,,01/01/2023,31/12/2062
5759,Reducing Food Loss and Waste in Israel,Brightly Ventures INC,Waste handling and disposal,,VM0046,Under validation,Israel,"2,700",Asia,,01/01/2021,31/12/2027
5755,SATROKALA ARR GROUPED PROJECT,JTF Madagascar Sarl,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Madagascar,"49,971",Africa,,03/11/2022,02/11/2062
5753,CARBON DISCLOSURE SA SOLAR PV GROUPED PROJECT 2,Carbon Disclosure South Africa (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-III.F.,Under development,South Africa,"9,200",Africa,,01/01/2025,31/12/2031
5750,Electric Trucks and Mobile Machinery Project Nigeria,Sunray Carbon Intralogistics GmbH,Transport,,VMR0014,Under validation,Nigeria,"13,840",Africa,,01/01/2024,31/12/2033
5751,Electric Mobility Program Vietnam,Grutter Consulting AG,Transport,,VMR0014; VM0038,Registration requested,Viet Nam,"292,781",Asia,,01/09/2025,31/08/2035
5746,DORNOD SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Mongolia,"800,000",Asia,,16/04/2023,15/04/2063
5747,SELENGE SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Mongolia,"180,000",Asia,,01/06/2023,31/05/2063
5748,SUKHBAATAR SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Mongolia,"800,000",Asia,,01/05/2023,30/04/2063
5749,Electric Mobility Program Kenya,Zeroca B.V.,Transport,,AMS-I.F.; VMR0014; VM0038,Under validation,Kenya,"635,460",Africa,,01/01/2026,31/12/2035
5745,VATTHANA Cassava Starch Plant Carbon Emission Reduction Project in Laos,ICEBERG ENVIRONMENT PTE. LTD,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0014,Under validation,Lao,"63,488",Asia,,25/10/2025,24/10/2035
5744,Stickland Municipal Composting Project,BridgeTech Inc.,Waste handling and disposal,,AMS-III.F.,Under validation,Canada,"35,000",North America,,20/09/2023,19/09/2030
5743,Proyecto Tatú: Restoring the Chaco Forest in Argentina,Concept Nature Management S.A,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,"46,238",Latin America,,30/09/2022,29/09/2062
5739,Tumed Left Banner Improved Agricultural Land Management Project,"Tumed Left Banner Aletan Agricultural and Animal Husbandry Development Investment Co., LTD",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,"76,540",,,22/09/2022,21/09/2102
5733,Methane emissions reduction through feed supplement for ruminant animals in Cambodia by AgCoTech,AgCoTech Holdings Pty Ltd,"Livestock, enteric fermentation, and manure management",,VM0041,Under development,Cambodia,"121,200",Asia,,,
5734,Methane emissions reduction through feed supplement for ruminant animals in Lesotho by AgCoTech,AgCoTech Holdings Pty Ltd,"Livestock, enteric fermentation, and manure management",,VM0041,Under development,Lesotho,"101,000",Africa,,,
5735,Methane emissions reduction through feed supplement for ruminant animals in Thailand by AgCoTech,AgCoTech Holdings Pty Ltd,"Livestock, enteric fermentation, and manure management",,VM0041,Under development,Thailand,"121,200",Asia,,,
5736,Kapuas Pisau Conservation Project,PT. Indo Hutan Ekosistem,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007; VM0047,Under validation,Indonesia,"83,123",Asia,,01/03/2023,28/02/2053
5730,MoRe Malawi ARR Project,Mamaland Company,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Malawi,"896,410",Africa,,01/10/2025,30/09/2065
5732,MoRe Malawi REDD Project,Mamaland Company,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Malawi,"154,902",Africa,,01/12/2025,30/11/2065
5727,Methane emissions reduction through feed supplement for ruminant animals in Kenya by AgCoTech,AgCoTech Holdings Pty Ltd,"Livestock, enteric fermentation, and manure management",,VM0041,Under development,Kenya,"261,857",Africa,,,
5722,JATI DHARMA INDAH PLYWOOD INDUSTRIES IFM PROJECT 1,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,Indonesia,"366,498",Asia,,01/10/2022,30/09/2052
5723,Urubamba Amazon IFM Project,MITIGA Rainforest SAC,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,Peru,"537,434",Latin America,,01/01/2024,31/12/2043
5720,Mangrove Conservation Sierra Leone,Mangrove Conservation (SL) Limited,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under development,Sierra Leone,"176,391",Africa,,28/03/2025,27/03/2055
5718,RENEW TARU ODISHA,ReNew Power Synergy Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"4,814",Asia,,27/09/2024,26/09/2064
5714,Project Tarsier,University of the Sunshine Coast,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Philippines,"21,784",Asia,,07/09/2022,06/09/2052
5715,IGL Grouped Waste to CBG Project,Indraprastha Gas Limited,Waste handling and disposal,,AMS-III.AO.; AMS-III.AQ,Under validation,India,"25,708",Asia,,31/10/2025,30/10/2032
5716,SALVADOR BIOMETHANE PROJECT,Solvi Participações S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Brazil,"562,192",Latin America,,,
5717,CO2 Utilization in Concrete - Carbicrete's Canal Block Plant,"Carbicrete, Inc.",Construction; Manufacturing industries,,VM0043,Under validation,Canada,"1,100",North America,,06/08/2025,05/08/2032
5713,Afforestation Project in Mongolia,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Mongolia,"1,510,792",Asia,,04/10/2022,03/10/2072
5712,VIETNAM ELECTRIC VEHICLE CHARGING SYSTEM(VEVCS),"UPASSETS CO., LTD.",Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under validation,Viet Nam,"266,797",Asia,,01/09/2025,31/08/2035
5710,The Soil Center Carbon Initiative,Carbon Friendly Solutions Pty Ltd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,United States,"2,438,383",North America,,01/09/2022,31/08/2042
5711,CO2 Utilization in Concrete – Removals & Reductions – CarbonCure – International Project #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Under validation,United States,"9,410",North America,,01/01/2023,31/12/2029
5709,TRIUNFO DO XINGU RECOVERY UNIT (URTX) ARR PROJECT,TRIUNFO DO XINGU RESTAURACAO ECOLOGICA SOCIEDADE DE PROPOSITO ESPECIFICO LTDA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"76,000",Latin America,,,
5704,COMBINED NATIVE SPECIES RESTORATION AND EUCALYPTUS REFORESTATION IN THE BRAGANCA DISTRICT,STX Commodities B.V.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Portugal,"1,538",Europe,,22/10/2024,21/10/2064
5705,NADOWLI-KALEO CLIMATE-SMART AGRICULTURE CARBON PROJECT,Axam Resources ltd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Ghana,"211,923",Africa,,01/12/2025,30/11/2065
5706,Amau Ganai REDD+ Project,Marki Holdings Limited,Agriculture Forestry and Other Land Use,REDD,VM0007; VM0048,Under validation,Papua New Guinea,"636,062",Oceania,,01/04/2023,31/03/2047
5707,Roots of Change: India Agroforestry Ecosystem Services Initiative,Climate Connect Digital Ltd,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"210,272",Asia,,01/01/2023,31/12/2062
5703,KwaZulu-Natal Sustainable Landscapes Program (KZNSLP),Sayari Earth Limited,Agriculture Forestry and Other Land Use,ALM,VM0032,Under development,South Africa,"730,524",Africa,,01/03/2023,28/02/2053
5701,Sustainable Regenerative Agriculture Project with Ecologically Oriented and Organic Integration,Horizon Carbon Technology Kazakhstan co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Kazakhstan,"1,727,889",Asia,,01/10/2023,30/09/2043
5698,Qingdao Haier Recycling Industry E-waste recovery and utilization Project,"Qingdao Hailuyuan Recycling Technology Co., Ltd.",Waste handling and disposal,,VMR0007; VMR0008,Registration and verification approval requested,China,"27,544",Asia,,13/12/2023,12/12/2030
5699,MONGOLIA AFFORESTATION PROJECT (PHASE II),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Mongolia,"9,573,225",Asia,,20/10/2025,19/10/2065
5700,EcoHarvest Sustainable Agriculture Project,Horizon Carbon Technology Kazakhstan co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Kazakhstan,"881,748",Asia,,01/10/2023,30/09/2043
5697,Swiftgreen: Agroforestry for Tribal farmers,Climeverse Private Limited dba Equilibrium,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"206,332",Asia,,01/07/2025,30/06/2065
5695,Siluk Peatlands Conservation Project (SPCP),PT. Annisa Surya Kencana,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007,Under validation,Indonesia,"1,147,943",Asia,,01/01/2023,31/12/2050
5692,"Improved Cookstove Initiative in Karatu District, Tanzania",TANJA Corporation Limited,Energy demand,,VM0050,Under validation,Tanzania,"1,572",Africa,,01/07/2025,30/06/2032
5690,RAMA GREEN BIO-CNG PROJECT IN INDIA,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-I.C.; AMS-III.D.; AMS-III.AO.,Under validation,India,"56,500",Asia,,20/01/2024,19/01/2031
5689,Karoo Sustainable Landscapes Program (KSLP),Sayari Earth Limited,Agriculture Forestry and Other Land Use,ALM,VM0032; VM0042,Under development,South Africa,"900,000",Africa,,01/11/2025,31/10/2055
5685,CBG Generation from Agro Waste,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Transport; Waste handling and disposal",,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Under validation,India,"47,395",Asia,,19/12/2023,18/12/2030
